id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
3,alns_300s,set3_t1_noncorr/I500_C3_3,500,3,1,8619.6,70,13,0,0,83,300.01,0.76,0.18,1.0,259.31,41998
8,alns_3600s,set3_t1_noncorr/I500_C3_3,500,3,1,8495.01,70,12,0,0,82,3600.0,0.77,0.24,0.98,1883.4,476198
5,alns_300s,set3_t1_noncorr/I500_C3_4,500,3,1,8707.68,70,0,13,0,83,300.01,0.78,0.2,1.0,298.74,50254
1,alns_3600s,set3_t1_noncorr/I500_C3_4,500,3,1,8707.68,70,0,13,0,83,3600.01,0.78,0.21,1.0,481.47,469661
4,alns_300s,set3_t1_noncorr/I500_C3_5,500,3,1,8314.25,70,0,11,0,81,300.01,0.79,0.2,1.0,192.08,48111
4,alns_3600s,set3_t1_noncorr/I500_C3_5,500,3,1,8314.25,70,0,11,0,81,3600.0,0.79,0.2,1.0,177.04,516829
5,alns_300s,set3_t1_noncorr/I500_C3_6,500,3,1,8524.37,70,12,0,0,82,300.0,0.79,0.19,1.0,102.82,51151
5,alns_3600s,set3_t1_noncorr/I500_C3_6,500,3,1,8397.34,70,11,0,0,81,3600.0,0.8,0.26,1.0,1621.12,530153
6,alns_300s,set3_t1_noncorr/I500_C3_7,500,3,1,8548.86,70,0,13,0,83,300.01,0.77,0.15,1.0,176.77,48790
7,alns_3600s,set3_t1_noncorr/I500_C3_7,500,3,1,8429.72,70,0,12,0,82,3600.0,0.78,0.15,1.0,601.49,479972
7,alns_300s,set3_t1_noncorr/I500_C3_8,500,3,1,7565.78,68,5,1,0,74,300.0,0.91,0.4,1.0,248.44,66870
2,alns_3600s,set3_t1_noncorr/I500_C3_8,500,3,1,7511.97,70,3,1,0,74,3600.0,0.94,0.53,1.0,2484.62,564661
1,alns_300s,set3_t1_noncorr/I500_C3_9,500,3,1,8841.95,70,15,0,0,85,300.0,0.76,0.2,1.0,285.85,39099
1,alns_3600s,set3_t1_noncorr/I500_C3_9,500,3,1,8719.15,70,14,0,0,84,3600.0,0.77,0.23,1.0,301.82,497198
2,alns_300s,set3_t1_corr/I500_C4_1,500,4,1,8877.02,70,16,0,0,86,300.0,0.72,0.2,1.0,134.4,45935
5,alns_3600s,set3_t1_corr/I500_C4_1,500,4,1,8759.71,70,15,0,0,85,3600.02,0.72,0.23,0.99,2912.63,463538
1,alns_300s,set3_t1_corr/I500_C4_10,500,4,1,18671.43,70,55,38,0,163,300.01,0.28,0.07,0.53,222.71,22766
4,alns_3600s,set3_t1_corr/I500_C4_10,500,4,1,18292.41,70,55,35,0,160,3600.01,0.28,0.08,0.46,845.43,365563
2,alns_300s,set3_t1_corr/I500_C4_2,500,4,1,14732.53,70,55,8,0,133,300.0,0.38,0.1,0.72,267.21,30760
8,alns_3600s,set3_t1_corr/I500_C4_2,500,4,1,14478.74,70,55,6,0,131,3600.0,0.39,0.09,0.71,1280.06,407694
