id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
1,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,1.74,191452
2,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,7.4,232529
3,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,2.18,259371
4,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,12.62,277146
5,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,23.32,289062
6,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.98,1.0,15.24,302429
7,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,1.81,313163
8,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.98,1.0,0.72,315127
9,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,13.7,310051
10,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,0.77,312365
1,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.01,1.0,0.99,1.0,1.74,781773
2,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,7.0,995482
3,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,1.09,1051068
4,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.01,1.0,0.99,1.0,12.02,1052253
5,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,18.63,1075894
6,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.98,1.0,17.33,1082505
7,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,3.65,1076090
8,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.98,1.0,1.45,1063476
9,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,15.61,1052891
10,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB5_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,1.55,1088931
1,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.94,1.0,1.31,215830
2,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.95,1.0,0.49,260379
3,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.97,1.0,1.0,284300
4,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.98,1.0,0.16,305587
5,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.97,1.0,1.07,309810
6,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.98,1.0,0.21,310309
7,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.97,1.0,0.56,315452
8,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.96,1.0,0.24,317132
9,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.97,1.0,1.63,317155
10,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,93.98,318224
1,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.0,0.99,0.94,1.0,1.26,904594
2,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.0,0.99,0.95,1.0,0.52,1163452
3,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.01,0.99,0.97,1.0,1.72,1193732
4,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.0,0.99,0.98,1.0,0.08,1155387
5,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.0,0.99,0.97,1.0,0.52,1152362
6,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.01,0.99,0.98,1.0,0.27,1150221
7,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.01,0.99,0.97,1.0,1.1,1153027
8,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.0,0.99,0.96,1.0,0.49,1156082
9,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2426,0,1,1,18,20,3600.0,0.99,0.97,1.0,3.18,1154249
10,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB2_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,98.1,1151586
1,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.98,1.0,0.06,189874
2,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,122.76,216296
3,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,21.35,256682
4,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,9.75,265046
5,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.95,1.0,0.07,273453
6,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.98,1.0,0.14,282244
7,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,300.0,1.0,0.99,1.0,17.17,300980
8,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.96,1.0,0.03,290330
9,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.96,1.0,0.34,292453
10,alns_300s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,300.0,0.99,0.97,1.0,0.01,293210
1,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,1867.25,745005
2,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,94.08,931620
3,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.0,1.0,0.99,1.0,16.47,982760
4,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2416,0,2,0,18,20,3600.01,1.0,0.99,1.0,9.46,1003798
5,alns_3600s,set1/ID2_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2426,0,1,1,18,20,3600.0,0.99,0.95,1.0,0.15,1026325
