id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap,termination_reason,columns,iterations,iterations_heuristic,iterations_exact,frac_iter_heuristic,frac_iter_exact,time_master,time_sub,time_sub_heuristic,time_sub_exact,frac_time_master,frac_time_sub,frac_time_sub_heuristic,frac_time_sub_exact
1,colgen,set3_t3_corr/I1000_C4_6,1000,4,3,30142.27,252.95,30142.27,0.0,OPTIMAL,6324,568,558,10,0.98,0.02,64.27,183.95,79.52,104.43,0.25,0.73,0.31,0.41
1,colgen,set3_t3_corr/I1000_C4_7,1000,4,3,25596.31,1021.92,25596.31,0.0,OPTIMAL,8105,854,823,31,0.96,0.04,155.87,859.04,179.88,679.17,0.15,0.84,0.18,0.66
1,colgen,set3_t3_corr/I1000_C4_8,1000,4,3,23726.31,2576.56,23726.31,0.0,OPTIMAL,9072,1201,1143,58,0.95,0.05,228.33,2339.8,312.29,2027.51,0.09,0.91,0.12,0.79
1,colgen,set3_t3_corr/I1000_C4_9,1000,4,3,35173.8,798.42,35173.8,0.0,OPTIMAL,6353,610,555,55,0.91,0.09,42.75,750.34,135.6,614.74,0.05,0.94,0.17,0.77
1,colgen,set3_t3_noncorr/I1000_C4_1,1000,4,3,22397.25,4586.97,22397.25,0.0,OPTIMAL,9043,1045,1001,44,0.96,0.04,248.51,4330.26,249.13,4081.13,0.05,0.94,0.05,0.89
1,colgen,set3_t3_noncorr/I1000_C4_10,1000,4,3,20215.91,100129.42,19987.37,0.01,TIMELIMIT,10891,1211,1197,14,0.99,0.01,438.45,99680.8,299.37,99381.43,0.0,1.0,0.0,0.99
1,colgen,set3_t3_noncorr/I1000_C4_2,1000,4,3,32831.76,154.1,32831.76,0.0,OPTIMAL,5406,360,355,5,0.99,0.01,41.91,108.15,52.8,55.35,0.27,0.7,0.34,0.36
1,colgen,set3_t3_noncorr/I1000_C4_3,1000,4,3,25287.52,1185.02,25287.52,0.0,OPTIMAL,8726,916,883,33,0.96,0.04,176.48,1000.34,194.13,806.21,0.15,0.84,0.16,0.68
1,colgen,set3_t3_noncorr/I1000_C4_4,1000,4,3,30065.72,321.59,30065.72,0.0,OPTIMAL,6459,524,510,14,0.97,0.03,70.6,246.09,73.48,172.61,0.22,0.77,0.23,0.54
1,colgen,set3_t3_noncorr/I1000_C4_5,1000,4,3,26116.22,1620.04,26116.22,0.0,OPTIMAL,8549,898,860,38,0.96,0.04,144.69,1467.49,180.23,1287.26,0.09,0.91,0.11,0.79
